Tag,Component Type,Fault Mode,Local Effect,System Effect,Detection Method,Severity,Recommended Action
E-12,Heat Exchanger,fouling,Tube-side / shell-side fouling,Reduced heat transfer — temperature drift,TI outlet temperature trending; increasing DP,minor,Chemical clean or mechanical descale per maintenance schedule
E-12,Heat Exchanger,vapour_lock,Vapour binding / lock in condenser,Flooded condenser; reflux loss; column upset,Temperature profile anomaly; DP increase,major,Purge non-condensables; check vent valve operation
E-12,Heat Exchanger,tube_rupture,Catastrophic tube rupture,High-pressure side overfills low-pressure side; PSV demand,PSV on low-pressure side; DP-loss alarm,critical,Activate ESD; isolate both sides; investigate per API 521
E-13,Vessel,high_pressure,Vessel overpressure,Structural integrity risk; PRV / PSV demand,PSV-102 or rupture disc; PAH alarm,critical,Activate ESD; verify PSV lift; investigate cause after isolation
E-13,Vessel,high_level,Liquid overflow,Flooding downstream equipment; pump cavitation,LSH alarm; LHH trip,critical,Activate level shutdown; divert flow; inspect level instrument
E-13,Vessel,low_level,Vessel runs dry,Pump cavitation; loss of process,LSL alarm; LLL trip,major,Reduce outflow; check inlet isolation valves
E-18,Vessel,high_pressure,Vessel overpressure,Structural integrity risk; PRV / PSV demand,PSV-102 or rupture disc; PAH alarm,critical,Activate ESD; verify PSV lift; investigate cause after isolation
E-18,Vessel,high_level,Liquid overflow,Flooding downstream equipment; pump cavitation,LSH alarm; LHH trip,critical,Activate level shutdown; divert flow; inspect level instrument
E-18,Vessel,low_level,Vessel runs dry,Pump cavitation; loss of process,LSL alarm; LLL trip,major,Reduce outflow; check inlet isolation valves
Column 3,Column,flooding,Column flooding,Loss of separation; carry-over; product off-spec,DP trending; overhead TI rise,major,Reduce feed and reflux; investigate fouling or load increase
Column 3,Column,weeping,Weeping / tray weeping,Reduced tray efficiency; loss of fractionation,Tray-efficiency calculation; product composition,minor,Increase vapour rate; review operating envelope
Column 3,Column,dry_tray,Dry tray from low liquid load,Localised downcomer unsealing; poor separation,Tray DP trending,minor,Increase reflux; review tray weir design
Column 3,Column,foaming,Foaming in column,Premature flooding; carryover,Gamma scan; anti-foam addition log,major,Inject anti-foam; investigate feed contamination
Column 3,Column,fouling,Internal fouling / tray plugging,DP rise; capacity loss,Gamma scan during turnaround planning,minor,Plan online/offline cleaning; review feed treatment
Column 3,Column,channelling,Liquid maldistribution / channelling,Slip of contaminant through packing; emissions limit breach,Stack analyser; liquid distributor visual inspection,major,Re-level distributor; consider structured-packing replacement
Column 3,Column,packing_damage,Packing crush / damage,Severe DP rise or channelling; column capacity loss,DP step-change; turnaround inspection,major,Replace packing at next shutdown; review operating upsets
Column 3,Column,amine_degradation,Amine solvent degradation (heat-stable salts),Reduced absorption capacity; corrosion on reboiler,"Amine analyser (HSS, degradation products)",major,Reclaimer service; partial solvent replacement
Column 3,Column,regenerator_fail,Stripper/regenerator underperformance,Lean solvent high in acid gas; circulation issues,Lean loading lab test; reboiler duty,major,Increase reboiler duty; verify reflux; check tray integrity
