Tag,Component Type,Fault Mode,Local Effect,System Effect,Detection Method,Severity,Recommended Action
HS-2901A2,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-2901B2,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-2901B2,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
XI-2901A,Indicator (I),high,"False high analysis reading (composition, conductivity, pH)",Quality control trip; batch rejection,Grab-sample laboratory comparison; NAMUR NE 43,major,Re-calibrate with certified reference; inspect sensing element
XI-2901A,Indicator (I),low,False low analysis reading,Under-dosing of chemicals; off-spec product,Redundant analyser; grab-sample verification,major,Replace membrane/electrode; re-span against reference
XI-2901B,Indicator (I),high,"False high analysis reading (composition, conductivity, pH)",Quality control trip; batch rejection,Grab-sample laboratory comparison; NAMUR NE 43,major,Re-calibrate with certified reference; inspect sensing element
XI-2901B,Indicator (I),low,False low analysis reading,Under-dosing of chemicals; off-spec product,Redundant analyser; grab-sample verification,major,Replace membrane/electrode; re-span against reference
HS-START-STOP-A-2901A,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-START-STOP-A-2901A,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-EMGSTOP-A-2901A,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-EMGSTOP-A-2901A,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-START-STOP-B-2901B,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-START-STOP-B-2901B,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-EMGSTOP-B-2901B,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-EMGSTOP-B-2901B,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
CV-HY-2903A-1,Check Valve,stuck_open,Check valve fails to close,Reverse flow on pump stop — potential water hammer,Reverse-flow surge test; acoustic leak check,critical,Isolate and inspect; replace disc or spring
CV-HY-2903A-1,Check Valve,chatter,Check valve disc chatter,Premature mechanical wear; pressure pulsations,Vibration monitoring on downstream piping,minor,Replace with nozzle-style check valve; re-size for service
CV-HY-2903A-2,Check Valve,stuck_open,Check valve fails to close,Reverse flow on pump stop — potential water hammer,Reverse-flow surge test; acoustic leak check,critical,Isolate and inspect; replace disc or spring
CV-HY-2903A-2,Check Valve,chatter,Check valve disc chatter,Premature mechanical wear; pressure pulsations,Vibration monitoring on downstream piping,minor,Replace with nozzle-style check valve; re-size for service
CV-HY-2903B-1,Check Valve,stuck_open,Check valve fails to close,Reverse flow on pump stop — potential water hammer,Reverse-flow surge test; acoustic leak check,critical,Isolate and inspect; replace disc or spring
CV-HY-2903B-1,Check Valve,chatter,Check valve disc chatter,Premature mechanical wear; pressure pulsations,Vibration monitoring on downstream piping,minor,Replace with nozzle-style check valve; re-size for service
CV-HY-2903B-2,Check Valve,stuck_open,Check valve fails to close,Reverse flow on pump stop — potential water hammer,Reverse-flow surge test; acoustic leak check,critical,Isolate and inspect; replace disc or spring
CV-HY-2903B-2,Check Valve,chatter,Check valve disc chatter,Premature mechanical wear; pressure pulsations,Vibration monitoring on downstream piping,minor,Replace with nozzle-style check valve; re-size for service
CSO-INLET-1,Gate Valve,disc_detached,Gate disc detached from stem,Valve uncontrollable; flow unconstrained,Stroke mismatch between handle and flow,critical,Isolate upstream; remove valve for rebuild
CSO-INLET-1,Gate Valve,stem_seize,Gate valve stem seized by corrosion,Manual operation impossible in emergency,Scheduled stroke test,major,"Apply penetrating fluid; if seized, replace valve"
CSO-INLET-2,Gate Valve,disc_detached,Gate disc detached from stem,Valve uncontrollable; flow unconstrained,Stroke mismatch between handle and flow,critical,Isolate upstream; remove valve for rebuild
CSO-INLET-2,Gate Valve,stem_seize,Gate valve stem seized by corrosion,Manual operation impossible in emergency,Scheduled stroke test,major,"Apply penetrating fluid; if seized, replace valve"
FLV-INLET,Check Valve,stuck_open,Check valve fails to close,Reverse flow on pump stop — potential water hammer,Reverse-flow surge test; acoustic leak check,critical,Isolate and inspect; replace disc or spring
FLV-INLET,Check Valve,chatter,Check valve disc chatter,Premature mechanical wear; pressure pulsations,Vibration monitoring on downstream piping,minor,Replace with nozzle-style check valve; re-size for service
NC-VALVE-OUTLET,Gate Valve,disc_detached,Gate disc detached from stem,Valve uncontrollable; flow unconstrained,Stroke mismatch between handle and flow,critical,Isolate upstream; remove valve for rebuild
NC-VALVE-OUTLET,Gate Valve,stem_seize,Gate valve stem seized by corrosion,Manual operation impossible in emergency,Scheduled stroke test,major,"Apply penetrating fluid; if seized, replace valve"
E-234-009,Heat Exchanger,tube_leak,Tube leak — cross-contamination,Process fluid contaminates utility stream (or vice versa),Conductivity analyser on cooling water return; AT alarm,critical,Isolate and plug affected tubes; schedule re-tube at shutdown
E-234-009,Heat Exchanger,fouling,Tube-side / shell-side fouling,Reduced heat transfer — temperature drift,TI outlet temperature trending; increasing DP,minor,Chemical clean or mechanical descale per maintenance schedule
E-234-009,Heat Exchanger,vapour_lock,Vapour binding / lock in condenser,Flooded condenser; reflux loss; column upset,Temperature profile anomaly; DP increase,major,Purge non-condensables; check vent valve operation
E-234-009,Heat Exchanger,tube_rupture,Catastrophic tube rupture,High-pressure side overfills low-pressure side; PSV demand,PSV on low-pressure side; DP-loss alarm,critical,Activate ESD; isolate both sides; investigate per API 521
