Tag,Component Type,Fault Mode,Local Effect,System Effect,Detection Method,Severity,Recommended Action
HS-2901B2,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
XI-2901A,Indicator (I),high,"False high analysis reading (composition, conductivity, pH)",Quality control trip; batch rejection,Grab-sample laboratory comparison; NAMUR NE 43,major,Re-calibrate with certified reference; inspect sensing element
XI-2901A,Indicator (I),low,False low analysis reading,Under-dosing of chemicals; off-spec product,Redundant analyser; grab-sample verification,major,Replace membrane/electrode; re-span against reference
XI-2901B,Indicator (I),high,"False high analysis reading (composition, conductivity, pH)",Quality control trip; batch rejection,Grab-sample laboratory comparison; NAMUR NE 43,major,Re-calibrate with certified reference; inspect sensing element
XI-2901B,Indicator (I),low,False low analysis reading,Under-dosing of chemicals; off-spec product,Redundant analyser; grab-sample verification,major,Replace membrane/electrode; re-span against reference
ESD-3200,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
ESD-3200,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-START-STOP-A-2901A,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-START-STOP-A-2901A,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-EMERGENCY-STOP-A-2901A,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-EMERGENCY-STOP-A-2901A,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-START-STOP-B-2901B,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-START-STOP-B-2901B,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-EMERGENCY-STOP-B-2901B,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-EMERGENCY-STOP-B-2901B,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
KV-2904,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
KV-2904,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
KV-2904,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
KV-2904,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
Gate-1-LEFT,Gate Valve,disc_detached,Gate disc detached from stem,Valve uncontrollable; flow unconstrained,Stroke mismatch between handle and flow,critical,Isolate upstream; remove valve for rebuild
Gate-1-LEFT,Gate Valve,stem_seize,Gate valve stem seized by corrosion,Manual operation impossible in emergency,Scheduled stroke test,major,"Apply penetrating fluid; if seized, replace valve"
CV-HY-2903A,Check Valve,stuck_open,Check valve fails to close,Reverse flow on pump stop — potential water hammer,Reverse-flow surge test; acoustic leak check,critical,Isolate and inspect; replace disc or spring
CV-HY-2903A,Check Valve,chatter,Check valve disc chatter,Premature mechanical wear; pressure pulsations,Vibration monitoring on downstream piping,minor,Replace with nozzle-style check valve; re-size for service
CV-HY-2903B,Check Valve,stuck_open,Check valve fails to close,Reverse flow on pump stop — potential water hammer,Reverse-flow surge test; acoustic leak check,critical,Isolate and inspect; replace disc or spring
CV-HY-2903B,Check Valve,chatter,Check valve disc chatter,Premature mechanical wear; pressure pulsations,Vibration monitoring on downstream piping,minor,Replace with nozzle-style check valve; re-size for service
CHECK-VALVE-A,Check Valve,stuck_open,Check valve fails to close,Reverse flow on pump stop — potential water hammer,Reverse-flow surge test; acoustic leak check,critical,Isolate and inspect; replace disc or spring
CHECK-VALVE-A,Check Valve,chatter,Check valve disc chatter,Premature mechanical wear; pressure pulsations,Vibration monitoring on downstream piping,minor,Replace with nozzle-style check valve; re-size for service
CHECK-VALVE-B,Check Valve,stuck_open,Check valve fails to close,Reverse flow on pump stop — potential water hammer,Reverse-flow surge test; acoustic leak check,critical,Isolate and inspect; replace disc or spring
CHECK-VALVE-B,Check Valve,chatter,Check valve disc chatter,Premature mechanical wear; pressure pulsations,Vibration monitoring on downstream piping,minor,Replace with nozzle-style check valve; re-size for service
E-234-009,Heat Exchanger,tube_leak,Tube leak — cross-contamination,Process fluid contaminates utility stream (or vice versa),Conductivity analyser on cooling water return; AT alarm,critical,Isolate and plug affected tubes; schedule re-tube at shutdown
E-234-009,Heat Exchanger,fouling,Tube-side / shell-side fouling,Reduced heat transfer — temperature drift,TI outlet temperature trending; increasing DP,minor,Chemical clean or mechanical descale per maintenance schedule
E-234-009,Heat Exchanger,vapour_lock,Vapour binding / lock in condenser,Flooded condenser; reflux loss; column upset,Temperature profile anomaly; DP increase,major,Purge non-condensables; check vent valve operation
E-234-009,Heat Exchanger,tube_rupture,Catastrophic tube rupture,High-pressure side overfills low-pressure side; PSV demand,PSV on low-pressure side; DP-loss alarm,critical,Activate ESD; isolate both sides; investigate per API 521
